,fecha,obs1,obs2,obs3,r1d1R,r2d1R,r1d1S,r2d1S,r1d2R,r2d2R,r1d2S,r2d2S,obs,year,month,day,hour
113,2020-06-23,39.116,34.78689599999999,0.16,68.13273483514786,61.54648476358831,96.24469784189114,91.59411179667111,5.785713195800781,5.0576384014816895,1.501289367675781,7.040642771093648,36.951448,2020,6,23,0
114,2020-06-24,2.54,2.354667,0.25,0.3488037586212151,0.5147542562728272,9.67310106754303,10.190986609031269,12.68936848640442,14.496245288921294,47.70645236968994,41.88049268496252,2.4473335,2020,6,24,0
115,2020-06-25,20.066,8.22509,7.87,2.403363581746816,10.65745608448888,1.8841049830321015,3.681817085954407,9.265323638916016,10.82855754244466,68.46180164813995,64.3993076095083,14.145544999999998,2020,6,25,0
116,2020-06-26,0.508,2.273038,7.33,17.207670211791992,18.5629118409616,5.198686927556992,10.225831073714712,8.648456573486328,10.186615604442087,19.703362941741943,24.81311902473648,1.3905189999999998,2020,6,26,0
117,2020-06-27,20.066000000000003,13.789138,9.66,31.896742582321167,35.98227499689139,149.17660200502723,116.3197109130577,34.71913528442383,31.827086587450417,93.06149291992188,93.31379500321825,16.927569000000002,2020,6,27,0
118,2020-06-28,0.254,0.361234,1.79,5.334871292114258,7.391044746343205,48.78875732421875,61.41463596005711,21.29558277130127,23.689715922731576,4.400581359863281,7.390297117793719,0.307617,2020,6,28,0
119,2020-06-29,0.762,0.7215610000000001,3.03,16.77829420566559,21.845125663159298,96.99157536029816,90.88438110783582,16.059934616088867,24.070834965718824,62.50224304199219,55.05385435426516,0.7417805000000001,2020,6,29,0
120,2020-06-30,,,,,,,,,,,,,2020,6,30,0
121,2020-07-01,48.006,38.670766,11.62,,,,,,,,,43.338383,2020,7,1,0
122,2020-07-02,2.54,1.82235,0.02,,,,,,,,,2.181175,2020,7,2,0
123,2020-07-03,32.258,22.94529,7.109999999999999,,,,,,,,,27.601645,2020,7,3,0
124,2020-07-04,5.334,4.231858999999999,14.910000000000002,,,,,,,,,4.7829295,2020,7,4,0
125,2020-07-05,2.794,2.30436,2.04,0.0756337791681282,0.078499935461045,0.200628967020264,0.2451356029274869,0.0001585632562636,0.0001296175605776,0.0,0.0022157952710561,2.54918,2020,7,5,0
